Country_ISO,year,pred_GDP_pc_Region,GDP_pc_Region,Light_Region,Light_Country,Pop_Region,Pop_Country
BEL,1995,29479.869140625,39096.3515625,253976,1662112,2292277.75,10125540
BEL,2000,32541.95703125,45269.15234375,246469,1616873,2333239.75,10237615
BEL,2005,34119.390625,47070.859375,207896,1357151.5,2358093.5,10284005
BEL,2010,36375.53515625,50521.83203125,306919,2162302,2371219.25,10282747
BEL,1995,26728.029296875,18927.431640625,213528,1662112,1296953.5,10125540
BEL,2000,29608.06640625,20878.94140625,203328.5,1616873,1292953.25,10237615
BEL,2005,31119.876953125,21726.4921875,163897.5,1357151.5,1279832.875,10284005
BEL,2010,35237.5546875,23303.83203125,263913,2162302,1260329.375,10282747
BEL,1995,27879.162109375,23807.158203125,162109,1662112,807688.1875,10125540
BEL,2000,30874.7265625,26693.333984375,158322,1616873,827323.5625,10237615
BEL,2005,32249.474609375,26636.435546875,130322,1357151.5,843093.0625,10284005
BEL,2010,35641.23046875,29211.8359375,217295,2162302,856199.6875,10282747
BEL,1995,25843.1171875,21736.974609375,172210,1662112,1005862.0625,10125540
BEL,2000,28563.4140625,23786.142578125,167428.5,1616873,1012822.75,10237615
BEL,2005,30207.671875,24304.2109375,145398.5,1357151.5,1013142.1875,10284005
BEL,2010,33126.08203125,26586.052734375,254110,2162302,1008927.25,10282747
BEL,1995,22668.236328125,20110.3984375,83606,1662112,237303.03125,10125540
BEL,2000,25415.78125,22200.39453125,84479.5,1616873,244739.859375,10237615
BEL,2005,26962.1796875,22585.728515625,76644.5,1357151.5,250642.59375,10284005
BEL,2010,29681.76953125,24069.671875,161592,2162302,255489.890625,10282747
BEL,1995,24069.259765625,19075.302734375,112764,1662112,435741.59375,10125540
BEL,2000,26749.220703125,21803.95703125,104765.5,1616873,444843.90625,10237615
BEL,2005,27911.005859375,22831.23046875,84382,1357151.5,450994.1875,10284005
BEL,2010,30707.7578125,25601.388671875,171585,2162302,454978.125,10282747
BEL,1995,29383.341796875,24102.90625,241252,1662112,1325853.25,10125540
BEL,2000,32570.955078125,27486.205078125,231575.5,1616873,1334053.5,10237615
BEL,2005,34073.34765625,29336.900390625,194681.5,1357151.5,1332500.875,10284005
BEL,2010,36277.2890625,32275.25,277979,2162302,1323994.25,10282747
BEL,1995,28711.384765625,25877.34765625,201381,1662112,1090339.375,10125540
BEL,2000,31869.8359375,29732.671875,196738.5,1616873,1097233.875,10237615
BEL,2005,32908.9765625,30809.880859375,162992,1357151.5,1100099.5,10284005
BEL,2010,35393.89453125,33588.13671875,237380,2162302,1098703.625,10282747
BEN,1992,824.1068115234375,1119.5157470703125,530,15313,655699.8125,4991850
BEN,1998,904.45111083984375,1223.127685546875,762.5,22667.5,783075.5,5961845.5
BEN,2004,1001.5018310546875,956.15411376953125,801.5,24064,923374.4375,7029680
BEN,1992,1356.642333984375,1592.3829345703125,6435,15313,1004269.8125,4991850
BEN,1998,1474.2991943359375,1696.146728515625,8367.5,22667.5,1199518.625,5961845.5
BEN,2004,1642.366455078125,1292.112548828125,9298,24064,1414346.375,7029680
BEN,1992,872.18353271484375,1029.268310546875,1582,15313,845412.0625,4991850
BEN,1998,973.01568603515625,1086.1795654296875,2672.5,22667.5,1009888.0625,5961845.5
BEN,2004,1040.642578125,1847.6395263671875,1998,24064,1190979.5,7029680
BEN,1992,1035.681884765625,1105.3446044921875,607,15313,691612.1875,4991850
BEN,1998,1232.963134765625,1211.178466796875,1932.5,22667.5,825857.875,5961845.5
BEN,2004,1321.3453369140625,1775.3409423828125,1474,24064,973781.4375,7029680
BEN,1992,1265.528076171875,1260.4805908203125,4758,15313,954272.8125,4991850
BEN,1998,1375.154296875,1365.7545166015625,6186,22667.5,1139632.625,5961845.5
BEN,2004,1552.365478515625,1832.1676025390625,7839,24064,1343596.625,7029680
BEN,1992,959.50946044921875,1033.7432861328125,1401,15313,840583.5,4991850
BEN,1998,1086.84521484375,1130.8431396484375,2746.5,22667.5,1003872.8125,5961845.5
BEN,2004,1193.1845703125,719.33770751953125,2653.5,24064,1183601.625,7029680
BOL,1995,2515.10302734375,3072.52685546875,6614,186424,335096.34375,7423857
BOL,2000,2611.57470703125,3437.0634765625,6214,201200.5,380992.03125,8339640.5
BOL,2005,2780.395263671875,3301.174560546875,5367,180808.5,428503.96875,9286683
BOL,2010,3232.09521484375,3800.714111328125,10801,357458,475243.375,10242169
BOL,1995,3033.499755859375,2949.55908203125,9939,186424,503429.09375,7423857
BOL,2000,3171.48876953125,3204.125732421875,9985,201200.5,535178.375,8339640.5
BOL,2005,3322.934326171875,3105.562255859375,7372.5,180808.5,565099.875,9286683
BOL,2010,3937.792724609375,3591.37744140625,13464,357458,590802.9375,10242169
BOL,1995,3640.01220703125,3760.727294921875,45673,186424,1270361.125,7423857
BOL,2000,3799.30615234375,4010.05517578125,44555.5,201200.5,1445769.5,8339640.5
BOL,2005,4093.3798828125,3857.1748046875,43262.5,180808.5,1613228.5,9286683
BOL,2010,4678.19384765625,4243.59912109375,70796,357458,1780221,10242169
BOL,1995,3175.747314453125,3474.6845703125,28727,186424,2188788.5,7423857
BOL,2000,3383.510009765625,3213.620361328125,34922,201200.5,2398445.75,8339640.5
BOL,2005,3655.872802734375,3445.668701171875,34109.5,180808.5,2598967.75,9286683
BOL,2010,4197.96337890625,4106.00341796875,59078,357458,2776050.5,10242169
BOL,1995,2948.5068359375,4314.57958984375,7998,186424,384402.84375,7423857
BOL,2000,3085.334228515625,5000.78759765625,8105.5,201200.5,406633.28125,8339640.5
BOL,2005,3317.839111328125,4497.91943359375,7723.5,180808.5,424157.25,9286683
BOL,2010,3956.02197265625,6059.6865234375,16571,357458,437425.71875,10242169
BOL,1995,2305.86962890625,4572.13916015625,799,186424,46996.56640625,7423857
BOL,2000,2470.179443359375,5768.921875,1019.5,201200.5,54846.8828125,8339640.5
BOL,2005,2755.832763671875,5335.8349609375,1393.5,180808.5,63693.82421875,9286683
BOL,2010,3308.089111328125,5793.6162109375,3845,357458,73367.3046875,10242169
BOL,1995,2631.874267578125,2023.224365234375,5856,186424,699759,7423857
BOL,2000,2804.26611328125,2311.10986328125,7087,201200.5,718188.5,8339640.5
BOL,2005,3051.323486328125,2569.9072265625,7579.5,180808.5,730482.875,9286683
BOL,2010,3709.444580078125,3955.482177734375,19662,357458,733980.5,10242169
BOL,1995,3134.019775390625,4495.01171875,73382,186424,1655707.5,7423857
BOL,2000,3307.060791015625,4899.833984375,79804,201200.5,2010080.875,8339640.5
BOL,2005,3454.18798828125,4812.99560546875,61334,180808.5,2418544.5,9286683
BOL,2010,4080.883544921875,5020.46240234375,132242,357458,2874183.5,10242169
BOL,1995,3048.07177734375,3710.820068359375,7436,186424,339316,7423857
BOL,2000,3266.157958984375,4523.8994140625,9508,201200.5,389505.21875,8339640.5
BOL,2005,3634.632080078125,8429.2685546875,12666.5,180808.5,444004.3125,9286683
BOL,2010,4310.69140625,9679.0888671875,30999,357458,500893.8125,10242169
BIH,2010,6146.7431640625,8454.171875,1276,415007,47742.875,4211192
BIH,2010,8082.11474609375,9771.9892578125,15206,415007,59954.51953125,4211192
BIH,2010,5935.71435546875,6819.92431640625,9828,415007,456311.5,4211192
BIH,2010,6732.23828125,10458.1689453125,28684,415007,391537.5,4211192
BIH,2010,7751.70751953125,7248.27490234375,6378,415007,25273.296875,4211192
BIH,2010,6895.51123046875,7885.88916015625,175242,415007,1787092.75,4211192
BIH,2010,7786.19677734375,18530.189453125,24553,415007,119212.203125,4211192
BIH,2010,6896.20166015625,6520.0849609375,27276,415007,294299.53125,4211192
BIH,2010,7503.58203125,6650.66357421875,49169,415007,243112.421875,4211192
BIH,2010,6638.4921875,5541.1044921875,23967,415007,356959.125,4211192
BIH,2010,7273.41455078125,7557.16552734375,16229,415007,115388.1796875,4211192
BIH,2010,7082.58740234375,7642.44140625,37199,415007,314308,4211192
BRA,1995,6596.77587890625,4814.25732421875,13694,6608489,480104.53125,154154944
BRA,2000,7079.4609375,5319.92578125,18557.5,7568527.5,555162.125,164583184
BRA,2005,8011.361328125,6152.15673828125,24598.5,6631145.5,636994.8125,174766352
BRA,2010,9535.845703125,7199.47314453125,48200,12926982,725209.625,184631328
BRA,1995,10212.5712890625,3432.41943359375,126165,6608489,2674679.25,154154944
BRA,2000,10526.8095703125,3789.366455078125,140081,7568527.5,2818283.75,164583184
BRA,2005,11375.34765625,4092.359619140625,124614,6631145.5,2951061,174766352
BRA,2010,13756.0361328125,4906.40966796875,263801,12926982,3070985.75,184631328
BRA,1995,6958.53955078125,7574.80615234375,374123,6608489,8212464.5,154154944
BRA,2000,7141.26220703125,7665.92431640625,425907.5,7568527.5,9102105,164583184
BRA,2005,7824.2861328125,9701.84765625,422273,6631145.5,10069757,174766352
BRA,2010,9324.7421875,11406.140625,833263,12926982,11114876,184631328
BRA,1995,8470.9931640625,4877.3486328125,415650,6608489,11184823,154154944
BRA,2000,8713.80078125,4900.6484375,493562.5,7568527.5,11592520,164583184
BRA,2005,9339.4091796875,5716.7705078125,399296,6631145.5,11966291,174766352
BRA,2010,11270.087890625,6859.93505859375,870863,12926982,12303906,184631328
BRA,1995,9046.810546875,4145.96240234375,192168,6608489,6593087.5,154154944
BRA,2000,9423.544921875,4188.763671875,255294.5,7568527.5,7084073,164583184
BRA,2005,10315.822265625,4459.4677734375,250614.5,6631145.5,7551205.5,174766352
BRA,2010,12481.5615234375,5739.2724609375,566901,12926982,7987783.5,184631328
