geocode,year,mn,div,dist,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd
10921.0,1.0,1.1133333,1.0,9.0,209290.0,71.141556,72.02367,236047.97,117733.586,0.0,0.0,0.0
10921.0,2.0,1.4333334,1.0,9.0,209290.0,62.683235,63.76624,236047.97,117733.586,0.0,0.0,0.0
10921.0,3.0,1.3299999,1.0,9.0,209290.0,66.9866,71.82929,236047.97,117733.586,0.0,0.0,0.0
10921.0,4.0,1.2533333,1.0,9.0,209290.0,66.79836,62.642014,236047.97,117733.586,0.0,0.0,0.0
10921.0,5.0,1.1666666,1.0,9.0,209290.0,69.59908,70.04913,236047.97,117733.586,0.0,0.0,0.0
10921.0,6.0,1.6833333,1.0,9.0,209290.0,62.439114,63.135376,236047.97,117733.586,0.0,0.0,0.0
10921.0,7.0,1.395,1.0,9.0,209290.0,67.72847,72.243126,236047.97,117733.586,0.0,0.0,0.0
10925.0,1.0,1.05,1.0,9.0,342960.0,73.0255,75.08105,269103.7,150931.08,0.0,0.0,0.0
10925.0,2.0,1.16,1.0,9.0,342960.0,62.85036,64.59167,269103.7,150931.08,0.0,0.0,0.0
10925.0,3.0,1.29,1.0,9.0,342960.0,67.462326,73.40402,269103.7,150931.08,0.0,0.0,0.0
10925.0,4.0,1.26,1.0,9.0,342960.0,66.42992,63.004597,269103.7,150931.08,0.0,0.0,0.0
10925.0,5.0,1.1566666,1.0,9.0,342960.0,69.3506,69.79835,269103.7,150931.08,0.0,0.0,0.0
10925.0,6.0,1.36,1.0,9.0,342960.0,62.506577,63.852844,269103.7,150931.08,0.0,0.0,0.0
10925.0,7.0,1.315,1.0,9.0,342960.0,68.2622,73.05516,269103.7,150931.08,0.0,0.0,0.0
10929.0,1.0,1.2033334,1.0,9.0,152610.0,69.6818,69.88063,235772.36,118659.06,0.0,0.0,0.0
10929.0,2.0,1.47,1.0,9.0,152610.0,63.2196,63.984493,235772.36,118659.06,0.0,0.0,0.0
10929.0,3.0,1.4975,1.0,9.0,152610.0,67.07563,71.01341,235772.36,118659.06,0.0,0.0,0.0
10929.0,4.0,1.3466667,1.0,9.0,152610.0,68.00481,63.554073,235772.36,118659.06,0.0,0.0,0.0
10929.0,5.0,1.3133334,1.0,9.0,152610.0,70.686584,71.547,235772.36,118659.06,0.0,0.0,0.0
10929.0,6.0,1.6933333,1.0,9.0,152610.0,63.045944,63.31033,235772.36,118659.06,0.0,0.0,0.0
10929.0,7.0,1.69,1.0,9.0,152610.0,67.78851,72.279465,235772.36,118659.06,0.0,0.0,0.0
10954.0,1.0,1.09,1.0,9.0,253980.0,72.11472,73.60875,252545.33,134156.55,0.0,0.0,0.0
10954.0,2.0,1.2666667,1.0,9.0,253980.0,62.325657,63.783154,252545.33,134156.55,0.0,0.0,0.0
10954.0,3.0,1.355,1.0,9.0,253980.0,66.927246,72.5082,252545.33,134156.55,0.0,0.0,0.0
10954.0,4.0,1.2933333,1.0,9.0,253980.0,65.99407,62.22714,252545.33,134156.55,0.0,0.0,0.0
10954.0,5.0,1.0833333,1.0,9.0,253980.0,68.874084,69.124306,252545.33,134156.55,0.0,0.0,0.0
10954.0,6.0,1.36,1.0,9.0,253980.0,62.034557,63.04993,252545.33,134156.55,0.0,0.0,0.0
10954.0,7.0,1.365,1.0,9.0,253980.0,67.688446,72.248276,252545.33,134156.55,0.0,0.0,0.0
10965.0,1.0,1.0,1.0,9.0,52040.0,74.30407,77.134415,272223.03,154119.55,0.0,0.0,0.0
10965.0,2.0,1.0133333,1.0,9.0,52040.0,63.646748,65.881226,272223.03,154119.55,0.0,0.0,0.0
10965.0,3.0,1.0725,1.0,9.0,52040.0,68.32872,74.907555,272223.03,154119.55,0.0,0.0,0.0
