geocode,year,div,dist,pop,emp,pop_agr,pop_ind,pop_serv,density,pop91,rainm,rainsd,surban,prop_elec,jamuna_m,padma_m,treat,smp1,treatd
17876.0,3.0,1.0,78.0,121820.0,31600.0,19300.0,3620.0,8680.0,777.26025,109420.0,54.23165,57.499096,0.18190773,0.34372786,230980.28,117956.6,0.0,0.0,0.0
17895.0,1.0,1.0,78.0,165990.0,31980.0,18310.0,720.0,12950.0,459.92075,165990.0,66.314476,55.478577,0.29405385,0.16451614,232138.47,116895.41,0.0,0.0,0.0
17895.0,2.0,1.0,78.0,459600.0,86280.0,57020.0,1680.0,27580.0,1273.4476,165990.0,57.215725,55.70329,0.17245488,0.27638733,232138.47,116895.41,0.0,0.0,0.0
17895.0,3.0,1.0,78.0,452760.0,114700.0,57020.0,10780.0,46900.0,1254.4956,165990.0,54.23165,57.499096,0.18048559,0.4066232,232138.47,116895.41,0.0,0.0,0.0
17914.0,1.0,1.0,79.0,145190.0,25990.0,16380.0,370.0,9240.0,995.40656,145190.0,62.81841,51.956398,0.14691095,0.07430998,217712.11,109811.945,0.0,0.0,0.0
17914.0,2.0,1.0,79.0,155630.0,29890.0,20260.0,410.0,9220.0,1066.982,145190.0,53.6576,52.012737,0.14393112,0.2683766,217712.11,109811.945,0.0,0.0,0.0
17914.0,3.0,1.0,79.0,146300.0,34740.0,17340.0,3840.0,13560.0,1003.0166,145190.0,50.797104,54.256466,0.16431989,0.46100116,217712.11,109811.945,0.0,0.0,0.0
17947.0,1.0,1.0,79.0,70140.0,12750.0,6370.0,320.0,6060.0,990.5381,70140.0,63.743793,49.487793,0.11377245,0.058399424,202311.75,93190.18,0.0,0.0,0.0
17947.0,2.0,1.0,79.0,75610.0,13870.0,8260.0,320.0,5290.0,1067.7871,70140.0,56.435066,54.0984,0.13318343,0.2112251,202311.75,93190.18,0.0,0.0,0.0
17947.0,3.0,1.0,79.0,69720.0,20100.0,9560.0,1940.0,8600.0,984.60675,70140.0,52.85891,55.742012,0.13253012,0.44512948,202311.75,93190.18,0.0,0.0,0.0
17958.0,1.0,1.0,79.0,253050.0,50590.0,38660.0,570.0,11360.0,775.656,253050.0,59.06338,48.629932,0.08452875,0.01840364,235445.12,129386.695,0.0,0.0,0.0
17958.0,2.0,1.0,79.0,265910.0,52430.0,40570.0,310.0,11550.0,815.0748,253050.0,49.83591,48.13625,0.09608514,0.11426531,235445.12,129386.695,0.0,0.0,0.0
17958.0,3.0,1.0,79.0,262280.0,64960.0,38600.0,4940.0,21420.0,803.94806,253050.0,47.108147,50.807377,0.11095013,0.348153,235445.12,129386.695,0.0,0.0,0.0
17976.0,1.0,1.0,79.0,164140.0,37810.0,29470.0,430.0,7910.0,752.2801,164140.0,59.77,46.63653,0.01742415,0.029813664,182122.75,77258.98,0.0,0.0,0.0
17976.0,2.0,1.0,79.0,181060.0,43260.0,35180.0,320.0,7760.0,829.8272,164140.0,52.611385,50.180637,0.02640009,0.14009021,182122.75,77258.98,0.0,0.0,0.0
17976.0,3.0,1.0,79.0,179780.0,49940.0,36040.0,3120.0,10780.0,823.96075,164140.0,49.123634,52.169853,0.024029369,0.29571217,182122.75,77258.98,0.0,0.0,0.0
17980.0,1.0,1.0,79.0,224580.0,40910.0,22000.0,1380.0,17530.0,1269.9615,224580.0,58.066948,45.51195,0.1743254,0.1228645,200627.9,94874.414,0.0,0.0,0.0
17980.0,2.0,1.0,79.0,227210.0,44680.0,27500.0,670.0,16510.0,1284.8337,224580.0,50.972664,48.53657,0.24730426,0.3043569,200627.9,94874.414,0.0,0.0,0.0
17980.0,3.0,1.0,79.0,235960.0,62700.0,27060.0,6840.0,28800.0,1334.3135,224580.0,47.5228,50.650417,0.22022495,0.43554458,200627.9,94874.414,0.0,0.0,0.0
17987.0,1.0,1.0,79.0,204250.0,37580.0,18690.0,1280.0,17610.0,1187.7761,204250.0,63.743793,49.487793,0.18139535,0.067148015,187524.62,78979.555,0.0,0.0,0.0
17987.0,2.0,1.0,79.0,214660.0,42750.0,23930.0,840.0,17980.0,1248.3135,204250.0,56.435066,54.0984,0.21680798,0.28946254,187524.62,78979.555,0.0,0.0,0.0
17987.0,3.0,1.0,79.0,210720.0,60380.0,21200.0,8820.0,30360.0,1225.4012,204250.0,52.85891,55.742012,0.22323462,0.5338005,187524.62,78979.555,0.0,0.0,0.0
32608.0,1.0,3.0,26.0,382700.0,62420.0,2680.0,8640.0,51100.0,13269.764,191350.0,55.54649,43.68725,1.0,0.8505192,91637.84,46833.27,0.0,,1.0
32608.0,2.0,3.0,26.0,1244450.0,247060.0,43920.0,82800.0,120340.0,43150.137,191350.0,55.200657,52.289692,1.0,0.9753554,91637.84,46833.27,0.0,,1.0
32608.0,3.0,3.0,26.0,1803960.0,785240.0,8860.0,270580.0,505800.0,62550.625,191350.0,48.48315,48.14123,1.0,0.98786145,91637.84,46833.27,0.0,,1.0
32612.0,1.0,3.0,26.0,405080.0,78430.0,4360.0,12950.0,61120.0,8580.386,405080.0,55.54649,43.68725,1.0,0.86103773,103345.98,40536.31,0.0,,1.0
32612.0,2.0,3.0,26.0,428160.0,84100.0,21660.0,8410.0,54030.0,9069.266,405080.0,55.200657,52.289692,1.0,0.97182804,103345.98,40536.31,0.0,,1.0
32612.0,3.0,3.0,26.0,1041900.0,396780.0,4720.0,95720.0,296340.0,22069.477,405080.0,48.48315,48.14123,1.0,0.99346876,103345.98,40536.31,0.0,,1.0
32614.0,1.0,3.0,26.0,313650.0,75320.0,58110.0,2150.0,15060.0,1047.0707,313650.0,55.65202,44.125275,0.07317073,0.10689536,63779.152,57986.21,0.0,,1.0
32614.0,2.0,3.0,26.0,350930.0,88850.0,62170.0,7880.0,18800.0,1171.524,313650.0,55.037445,51.707596,0.12409882,0.39215687,63779.152,57986.21,0.0,,1.0
32614.0,3.0,3.0,26.0,415800.0,141700.0,59640.0,38460.0,43600.0,1388.0822,313650.0,48.51602,48.225494,0.14203945,0.76603323,63779.152,57986.21,0.0,,1.0
32616.0,1.0,3.0,26.0,200010.0,37840.0,670.0,7390.0,29780.0,25381.979,200010.0,0.0,0.0,1.0,0.88900745,95392.76,38036.207,0.0,,1.0
32616.0,2.0,3.0,26.0,252220.0,49720.0,9600.0,7440.0,32680.0,32007.613,200010.0,0.0,0.0,1.0,0.9844453,95392.76,38036.207,0.0,,1.0
32616.0,3.0,3.0,26.0,264960.0,120280.0,780.0,20320.0,99180.0,33624.363,200010.0,0.0,0.0,1.0,0.9945399,95392.76,38036.207,0.0,,1.0
32618.0,1.0,3.0,26.0,176730.0,30340.0,14420.0,6430.0,9490.0,1635.0264,176730.0,55.54649,43.68725,0.15062524,0.05681105,97231.74,21345.73,0.0,,1.0
32618.0,2.0,3.0,26.0,194070.0,29840.0,14530.0,3040.0,12270.0,1795.4482,176730.0,55.200657,52.289692,0.32905653,0.47013125,97231.74,21345.73,0.0,,1.0
32618.0,3.0,3.0,26.0,226180.0,50940.0,17260.0,8920.0,24760.0,2092.5156,176730.0,48.48315,48.14123,0.16296755,0.82834005,97231.74,21345.73,0.0,,1.0
32626.0,1.0,3.0,26.0,282140.0,51110.0,7050.0,6860.0,37200.0,5534.327,282140.0,55.54649,43.68725,1.0,0.7515585,95508.6,47202.27,0.0,,1.0
32626.0,2.0,3.0,26.0,904840.0,206090.0,44450.0,41850.0,119790.0,17748.922,282140.0,55.200657,52.289692,1.0,0.9284778,95508.6,47202.27,0.0,,1.0
32626.0,3.0,3.0,26.0,1321320.0,644680.0,9140.0,158260.0,477280.0,25918.4,282140.0,48.48315,48.14123,1.0,0.98780715,95508.6,47202.27,0.0,,1.0
32638.0,1.0,3.0,26.0,530420.0,104720.0,26170.0,11500.0,67050.0,2966.8867,530420.0,55.54649,43.68725,1.0,0.5573754,97509.96,32279.588,0.0,,1.0
32638.0,2.0,3.0,26.0,600670.0,112030.0,24910.0,14430.0,72690.0,3359.8276,530420.0,55.200657,52.289692,1.0,0.85285616,97509.96,32279.588,0.0,,1.0
32638.0,3.0,3.0,26.0,796820.0,287600.0,26380.0,99920.0,161300.0,4456.9863,530420.0,48.48315,48.14123,0.0,0.944577,97509.96,32279.588,0.0,,1.0
32640.0,1.0,3.0,26.0,398720.0,78420.0,940.0,12100.0,65380.0,42552.83,211610.0,55.54649,43.68725,1.0,0.88666666,97504.234,36185.04,0.0,,1.0
32640.0,2.0,3.0,26.0,636610.0,128620.0,17970.0,25560.0,85090.0,67941.305,211610.0,55.200657,52.289692,1.0,0.9634399,97504.234,36185.04,0.0,,1.0
32640.0,3.0,3.0,26.0,771780.0,329420.0,2220.0,85280.0,241920.0,82367.13,211610.0,48.48315,48.14123,1.0,0.9950887,97504.234,36185.04,0.0,,1.0
32642.0,1.0,3.0,26.0,211610.0,47960.0,120.0,6040.0,41800.0,111962.96,398720.0,0.0,0.0,1.0,0.9105373,99871.61,36928.58,0.0,,1.0
32642.0,2.0,3.0,26.0,256080.0,55650.0,9690.0,10290.0,35670.0,135492.06,398720.0,0.0,0.0,1.0,0.984298,99871.61,36928.58,0.0,,1.0
32642.0,3.0,3.0,26.0,256080.0,132060.0,1000.0,37720.0,93340.0,135492.06,398720.0,0.0,0.0,1.0,0.94514394,99871.61,36928.58,0.0,,1.0
32648.0,1.0,3.0,26.0,639540.0,125680.0,6030.0,29880.0,89770.0,42721.44,639540.0,0.0,0.0,1.0,0.75558364,90016.57,43055.707,0.0,,1.0
